id;title;start_date;end_date;establishment;description;gpa;accreditation
1;worth quicker strictly;2024-01-26;2024-01-27;subtitle silver back;circa loudly mutter;7164.92;violently masculinize small
2;quarrelsomely;2024-01-26;2024-01-27;coaxingly;purvey nor;20544.92;and complex
3;faraway faithful unfortunately;2024-01-26;2024-01-27;suspiciously ick daily;yesterday;25705.41;politely since
4;under;2024-01-27;2024-01-27;notwithstanding absorb top;whoa naughty;2526.79;gee
5;across ugh memory;2024-01-26;2024-01-27;now;meh dual;18901.76;nor
6;kookily charge once;2024-01-27;2024-01-26;nanoparticle keenly;discipline;1146.14;stormy
7;moody melodic;2024-01-27;2024-01-27;fresh;excepting mull;11880.44;shave dreamily incomparable
8;finance scarily following;2024-01-27;2024-01-27;regarding upright out;limber;23634.27;over blah bashfully
9;gee tricky;2024-01-27;2024-01-27;evil;versus;1312.65;and giving caulk
10;police;2024-01-27;2024-01-27;times provided forenenst;hence what;6441.33;resume yuck
