id;start_time;end_time;google_meet_url;status
1;2024-01-27T12:38:24;2024-01-26T23:47:40;how wetly;CANCELLED
2;2024-01-27T17:18:37;2024-01-26T21:53:40;underneath delegate;COMPLETED
3;2024-01-27T09:40:29;2024-01-27T12:08:29;boohoo orbit;RESCHEDULED
4;2024-01-27T05:38:03;2024-01-27T09:30:46;below fancy daring;PENDING
5;2024-01-27T18:37:30;2024-01-27T06:08:34;furthermore usefully;COMPLETED
6;2024-01-26T21:31:41;2024-01-26T20:42:55;lawmaker;RESCHEDULED
7;2024-01-27T18:24:14;2024-01-27T00:13:21;selfishly once;PENDING
8;2024-01-27T15:41:21;2024-01-27T15:17:35;helpfully;RESCHEDULED
9;2024-01-26T21:31:34;2024-01-26T22:19:33;low inside;CONFIRMED
10;2024-01-27T00:40:25;2024-01-27T16:19:47;unimpressively;CONFIRMED
